"","row m/z","name","ion_type","sample","average_peak_area","average_mass_error"
"1",324.2079717,"prodigiosin","M+H","C12_MV",7.15e+08,1.18966987997723
"2",346.1900234,"prodigiosin","M+Na","C12_MV",664811.0747,1.42234226004883
"3",324.2080892,"prodigiosin","M+H","C12_SUP",19133333.3333333,1.55209199814568
"4",325.2150879,"prodigiosin","M+2H","C12_SUP",67390.6233333333,-0.993495354384655
"5",324.2079717,"prodigiosin","M+H","C24_MV",652666666.666667,1.18966987997723
"6",346.1900234,"prodigiosin","M+Na","C24_MV",695724.409933333,1.42234226004883
"7",324.2080892,"prodigiosin","M+H","C24_SUP",9792007.70233333,1.55209199814568
"8",324.2076569,"prodigiosin","M+H","C48_MV",82171.9372666667,0.218687048145714
"9",346.1900234,"prodigiosin","M+Na","C48_MV",1093984.63136667,1.42234226004883
"10",324.2079717,"prodigiosin","M+H","C48_SUP",5925819.86933333,1.18966987997723
"11",325.2151794,"prodigiosin","M+2H","C48_SUP",145003.943166667,-0.712143373815818
